ITEM©ö©ªE¡Ì	ITEM_NAME(K)	ITEM_TYPE	SUB_TYPE	SIZE	ANTI_FLAG	FLAG	ITEM_WEAR	IMMUNE	¡íoA¢® ¨¡C¢¬A¡Æ¢®	¡íoA¢®¢¯¢®¨ù¡© ¡íi ¢Ò¡×	REFINE	REFINESET	MAGIC_PCT	LIMIT_TYPE0	LIMIT_VALUE0	LIMIT_TYPE1	LIMIT_VALUE1	ADDON_TYPE0	ADDON_VALUE0	ADDON_TYPE1	ADDON_VALUE1	ADDON_TYPE2	ADDON_VALUE2	VALUE0	VALUE1	VALUE2	VALUE3	VALUE4	VALUE5	Specular	SOCKET	ATTU_ADDON
1	¥ì¡¤©÷U¡¤?©öI	ITEM_ELK	0	1	NONE	NONE	NONE	NONE	0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	0	0	0
2	CN¡¾©ö©ö¡ì¨öO©öoA?	ITEM_NONE	0	1	NONE	NONE	NONE	NONE	0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	0	0	0
10	¥ì¥ì+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	11	1219	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	1	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
11	¥ì¥ì+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	50000	50000	12	1220	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	2	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
12	¥ì¥ì+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	100000	100000	13	1221	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	3	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
13	¥ì¥ì+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	150000	150000	14	1222	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	4	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
14	¥ì¥ì+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	200000	200000	15	1223	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	5	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
15	¥ì¥ì+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	250000	250000	16	1224	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	6	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
16	¥ì¥ì+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	300000	300000	17	1225	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	7	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
17	¥ì¥ì+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	350000	350000	18	1226	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	8	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
