AFF_LOVE_POINT	Punct de dragoste: %d%%
ALIGNMENT_NAME	Puncte de grad:
ATTACK_ERROR_UNKNOWN	Greºealã de atac necunoscutã: %s
CANNOT_ATTACK_DEST_IN_SAFE	Inamicul e prea departe.
CANNOT_ATTACK_SELF_IN_SAFE	Nu pot ataca.
CANNOT_EQUIP_IN_EXCHANGE	Nu poþi schimba echipamentul când negociezi.
CANNOT_EQUIP_IN_SHOP	Nu poþi schimba echipamentul când negociezi.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Nu poþi deschide magazinul într-un spaþiu public.
CANNOT_SHOOT_DEST_IN_SAFE	Inamicul e prea departe.
SHOP_NOT_ENOUGH_ITEM	Iteme insuficiente
MAPA_FARA_GRUPA	Nu poþi folosi o grupã în aceastã mapã.
MAPA_FARA_NEGOT	Nu poþi face negoþ sau barbut în aceastã mapã.
DE_FACUT_UPDATE	ªmecher tu, intri fãrã sã faci update.
MAPA_FARA_PRIETENIE	Nu poþi trimite o cerere de prietenie în aceastã mapã.
MAPA_FARA_INVITATIE	Nu poþi invita membrii în breaslã în aceastã mapã.
MAPA_FARA_ECHIPAMENT	Nu puteþi vedea echipamentul jucãtorului în aceastã mapã.
MAPA_FARA_REVANSA	Nu poþi face pvp în aceastã mapã.
MAPA_FARA_CERERE_FRND	Nu poþi da cerere de prietenie în aceastã mapã.
CANNOT_SHOOT_EMPTY_ARROW	Am nevoie de o sãgeatã.
CANNOT_SHOOT_SELF_IN_SAFE	Nu pot face asta.
TEXT_LOADING	Aºteaptã puþin pânã sã intri în joc: 
CANNOT_SKILL_APPROACH	Sunt sigur ca nu ma pot apropia mai mult de atat.
CANNOT_SKILL_ATTACK	Nu pot ataca.
CANNOT_SKILL_DEST_IN_SAFE	Inamicul e prea departe.
CANNOT_SKILL_EQUIP_FISHING_ROD	Am nevoie de o undiþã.
ITEM_PERMANENT	[ITEM NELIMITAT]
CANNOT_SKILL_HAVE_TO_RIDE	Am nevoie de un cal pentru a folosi asta.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Nu am nicio sticlã goalã.
CANNOT_SKILL_NEED_POISON_BOTTLE	Nu am nicio sticlã cu otravã.
ITEM_VNUM_TOOLTIP	Cod item: %d
CANNOT_SKILL_NEED_TARGET	Care este þinta?
CANNOT_SKILL_NOT_ENOUGH_HP	Nu am destule PV!
CANNOT_SKILL_NOT_ENOUGH_SP	Nu am destule PM!
CANNOT_SKILL_NOT_HORSE_SKILL	Nu pot folosi asta în timp ce cãlãresc.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Aceasta abilitate nu o pot folosi la aceasta arma.
CANNOT_SKILL_NOT_YET_LEARN	Nu am învatat aceasta abilitate.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Are efect doar asupra membrilor grupului.
CANNOT_SKILL_ONLY_FOR_CORPSE	Are efect doar asupra morþilor.
CANNOT_SKILL_REMOVE_FISHING_ROD	Nu pot folosi aceasta abilitate cu o undita.
CANNOT_SKILL_SELF_IN_SAFE	De aici nu pot ataca.
CANNOT_SKILL_USE_SELF	Nu pot folosi asta asupra mea.
CANNOT_SKILL_WAIT_COOLTIME	Nu pot folosi inca aceasta abilitate.
CANNOT_USE	Nu poti folosi asta.
CANNOT_WHISPER_DEST_REFUSE	%s a blocat complet ºoptitul.	SA
CANNOT_WHISPER_NOT_LOGON	%s nu e online.	SA
CANNOT_WHISPER_SELF_REFUSE	Nu poþi ºopti cuiva ceva dacã ºoptitul e complet blocat. 	SNA
CHANNEL	Canal
CHANNELING_CANNOT_LOGOUT	Nu poþi reveni la ecranul de login.
CHANNEL_EMPTY_SERVER	Niciun server
CHANNEL_NORMAL	Canal %d
CHANNEL_NOTIFY_FULL	Acest canal este plin! Alege te rog altul.
CHANNEL_NOT_FIND_INFO	Nici o informaþie gãsitã via Canal.
CHANNEL_PVP	Duel liber
CHANNEL_SELECT_CHANNEL	Alege canalul
CHANNEL_SELECT_REGION	Selecteazã regiunea.
CHANNEL_SELECT_SERVER	Alege serverul
CHANNEL_TEST_SERVER	Testeazã serverul
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHAT_ALL	Toþi
CHAT_BLOCK	Blocheazã
CHAT_GUILD	Breaslã
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Propoziþia conþine cuvinte nepermise.
CHAT_LOG	Aratã mesaje vechi [L]
CHAT_LOG_TITLE	Log Chat
CHAT_NORMAL	Normal
CHAT_NOTICE	Anunþ
CHAT_PARTY	Grup
CHAT_SEND_CHAT	Trimite mesaj
CHAT_SEND_MEMO	Trimite ºoaptã [Shift+Enter]
CHAT_SHOUT	Strigã
CHAT_SHOUT_LIMIT	Poþi striga doar o datã la 15 secunde.
CHAT_WHISPER	ªoaptã
CREATE_ERROR_GM_NAME	Nu poþi folosi ,GM‘ la numele caracterului.
CREATE_ERROR_INSULT_NAME	Acest nume este invalid.
CREATE_EXIST_SAME_NAME	Existã deja un caracter cu acest nume.
CREATE_FAILURE	Nu poþi crea acest caracter.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Introdu numele.
CREATE_PLUS_STAT	Mai sunt puncte de status accesibile.
DAY	Zile
DO_YOU_BUY_ITEM1	Vrei sa cumperi %s petru %s?
DO_YOU_BUY_ITEM2	Vrei sã cumperi %s %s pentru %s?
DO_YOU_DROP_MONEY	Vrei sã renunþi la %d Yang?
DO_YOU_SELL_ITEM1	Vrei sã vinzi %s pentru %s?
DO_YOU_SELL_ITEM2	Vrei sã vinzi %s %s pentru %s?
DRAGON_SOUL_CANNOT_REFINE	Aceasta Piatra Dragon nu poate fi rafinata.
DRAGON_SOUL_CANNOT_REFINE_MORE	Aceasta Piatra Dragon a ajuns deja la nivelul maxim.
DRAGON_SOUL_EQUIP_WARNING1	Este dificil sa inlaturi o Piatra Dragon odata ce a fost atasata.
DRAGON_SOUL_EQUIP_WARNING2	Doresti sa continui?
DRAGON_SOUL_EXPIRED	Piatra Dragon Expirata
DRAGON_SOUL_INVALID_DRAGON_SOUL	Aceasta este o Piatra Dragon gresita.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Aceasta nu este o Piatra Dragon.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Aceasta nu este Piatra Dragon corecta.
